paperId;authorId
0;0
0;1
1;2
2;3
2;4
3;5
3;6
4;7
4;8
5;9
5;10
6;11
6;12
7;13
7;14
7;15
7;16
7;17
7;18
7;19
8;20
9;21
9;22
9;23
10;24
10;25
10;26
10;27
11;28
12;29
12;30
13;31
13;32
14;33
15;34
16;35
17;36
17;37
17;38
17;39
18;40
19;41
20;42
21;43
21;44
21;45
21;46
23;47
23;48
24;49
24;50
25;51
25;52
25;53
25;54
26;55
28;56
28;57
28;58
28;59
28;60
29;61
31;62
32;63
33;64
34;65
35;66
35;67
35;68
36;69
37;70
37;71
38;72
40;73
41;74
42;75
43;76
44;77
45;78
47;79
49;80
49;81
50;82
51;83
52;84
53;85
53;86
54;87
55;88
55;89
56;90
56;91
57;92
58;93
59;94
59;95
61;96
62;97
63;98
64;99
65;100
65;101
65;102
66;103
67;104
67;105
69;106
69;107
70;108
70;109
70;110
70;111
70;112
71;113
71;114
72;115
73;116
73;117
74;118
75;119
76;120
76;121
77;122
79;123
79;124
79;125
79;126
80;127
81;128
82;129
82;130
83;131
84;132
85;61
86;133
86;134
87;135
88;136
89;137
89;138
90;139
91;140
92;141
93;2
94;142
94;143
95;144
95;145
96;146
96;147
97;148
97;149
100;150
101;151
102;152
102;153
104;154
104;155
104;156
104;157
104;158
105;159
105;160
105;161
105;162
105;163
105;164
106;165
106;166
107;167
108;168
108;169
108;170
108;171
109;172
110;173
110;174
111;175
112;176
112;177
112;178
113;179
113;180
114;100
114;181
114;101
114;102
114;182
114;183
114;184
115;185
116;186
117;187
118;188
118;189
119;190
120;191
120;192
121;193
123;194
123;195
123;196
123;197
125;198
125;199
125;200
125;201
126;202
127;203
127;204
127;205
127;206
128;207
128;208
130;209
132;210
133;211
134;212
135;213
136;214
138;215
139;216
140;217
141;218
141;219
141;220
141;221
142;222
143;223
143;224
144;225
144;226
145;227
146;228
146;229
147;230
147;231
149;232
150;233
151;234
151;235
154;136
155;236
155;237
156;238
156;239
157;240
157;241
158;242
158;243
159;244
160;245
161;246
161;247
161;248
163;249
164;250
166;251
167;252
167;253
168;254
168;255
168;256
169;257
169;258
170;259
171;260
171;261
173;262
174;263
174;264
174;265
174;266
174;267
174;268
174;269
174;270
175;271
176;272
177;273
177;274
178;275
179;276
179;277
179;278
180;279
181;280
182;281
183;282
188;283
188;284
188;285
189;286
189;287
189;288
190;61
191;289
192;290
192;291
193;292
193;293
193;294
193;295
194;296
195;297
195;298
196;299
196;300
196;301
196;302
196;303
197;304
197;305
198;306
199;307
200;272
201;308
203;309
203;310
204;311
205;312
206;313
206;314
209;315
210;316
211;317
212;318
214;319
214;320
215;321
216;322
216;323
217;324
218;325
219;115
220;326
220;327
221;328
222;329
224;330
225;331
225;332
225;333
225;334
225;335
226;336
227;337
228;338
229;339
229;340
229;341
230;342
230;343
232;344
234;345
235;346
236;347
237;348
238;94
238;95
238;349
238;350
239;351
241;352
241;353
242;354
242;355
243;356
244;357
244;358
244;359
244;360
245;361
245;362
245;363
247;364
248;365
249;366
250;367
251;368
252;2
253;369
253;370
253;371
254;372
256;373
256;374
257;375
257;376
257;377
257;378
258;379
258;380
259;381
260;382
261;383
262;384
263;385
264;386
264;387
265;388
266;389
266;390
266;391
267;392
267;393
267;394
268;395
268;396
268;397
270;398
270;399
271;400
271;401
272;402
273;403
273;404
274;405
274;406
274;407
274;408
275;409
275;410
275;411
275;412
275;413
275;414
275;415
275;416
276;417
276;418
277;419
277;420
278;421
279;422
279;423
280;424
281;425
282;426
283;427
285;428
286;429
287;430
288;431
288;432
289;433
289;434
289;435
290;436
290;437
291;438
293;425
294;439
295;440
295;441
296;442
296;443
296;444
297;445
298;446
298;447
299;448
299;449
299;450
300;451
301;452
302;453
302;454
302;455
303;456
304;457
305;458
305;459
305;460
306;461
307;462
307;463
308;464
309;465
309;466
309;467
309;468
309;469
310;470
311;471
312;472
312;473
312;474
312;475
313;476
314;477
315;478
315;479
316;480
317;481
317;482
317;483
317;484
318;485
318;486
319;487
320;488
320;489
321;490
321;491
322;492
322;493
323;494
323;495
323;496
323;497
324;498
324;499
325;500
325;501
325;502
326;503
326;504
328;505
328;506
329;507
329;508
329;509
329;510
329;511
329;512
330;513
330;514
331;245
332;515
333;516
334;517
334;518
334;519
335;520
337;521
338;522
339;523
340;524
341;525
342;526
343;527
344;528
345;529
345;530
345;531
345;532
345;533
